 CANC,CANCELLATION - SINGLE
MTG & ASSGN,MORTGAGE
MTG & ASSIGN,MORTGAGE
MTG & ASSIGN ETC,MORTGAGE
MTG & ASSIGN LEASES ,MORTGAGE
MTG & ASSIGN LSE & R,MORTGAGE
MTG & ASSIGN LSE REN,MORTGAGE
MTG & ASSIGN LSES & ,MORTGAGE
MTG & ASSIGN OF LSE ,MORTGAGE
MTG & ASSIGN OF RENT,MORTGAGE
MTG & ASSIGN RENTS,MORTGAGE
MTG & ASSIGNMENT ETC,MORTGAGE
MTG & BOND,MORTGAGE
MTG & CONS AGR,MORTGAGE
MTG & DECL IMB,MORTGAGE
MTG & DECL IMMOB,MORTGAGE
MTG & DECL OF IMMOB ,MORTGAGE
MTG & DECL OF IMMOBL,MORTGAGE
MTG & DECLAR IMMOB,MORTGAGE
MTG & DEED OF TRUST ,MORTGAGE
MTG & ETC,MORTGAGE
MTG & IMMOBLZN,MORTGAGE
MTG & LOAN MODIF,MORTGAGE
MTG & MEMO BOND FOR ,MORTGAGE
MTG & NO WK AFF,MORTGAGE
MTG & NOTICE OF SEIZ,MORTGAGE
MTG & NTC SZR,MORTGAGE
MTG & ORDER,MORTGAGE
MTG & P/ATTY,MORTGAGE
MTG & PLAT,MORTGAGE
MTG & PLEDGE,MORTGAGE
MTG & RATIF,MORTGAGE
MTG & REG,MORTGAGE
MTG & REQ,MORTGAGE
MTG & REQ ETC,MORTGAGE
MTG & REQ NTC SZR,MORTGAGE
MTG & REQ SZUR,MORTGAGE
MTG & RESOLUTION,MORTGAGE
MTG & RIDER,MORTGAGE
MTG & SEC AGR,MORTGAGE
MTG & SEC AGRE,MORTGAGE
MTG & SECURITY AGREE,MORTGAGE
MTG & SUBOR,MORTGAGE
MTG & SUBORDINATION ,MORTGAGE
MTG & UCC,MORTGAGE
MTG &SEC AGREE,MORTGAGE
"MTG , ASSIGN RENTS &",MORTGAGE
"MTG ,REQ",MORTGAGE
MTG ACKN ETC,MORTGAGE
MTG AGREE,MORTGAGE
MTG AMD AGREE,MORTGAGE
MTG AMEND,MORTGAGE
MTG ASGN ETC,MORTGAGE
MTG ASSGN,MORTGAGE
MTG ASSIGN,MORTGAGE
MTG ASSIGN & ETC,MORTGAGE
MTG ASSIGN ETC,MORTGAGE
MTG ASSIGN LEASES & ,MORTGAGE
MTG ASSIGN OF RENTS ,MORTGAGE
MTG ASSN,MORTGAGE
MTG CANC,MORTGAGE
MTG CORR,MORTGAGE
MTG ESTOPPEL AGREE,MORTGAGE
MTG ETC,MORTGAGE
MTG ETC RATIF,MORTGAGE
"MTG ETC, ASSIGN PROD",MORTGAGE
MTG ETC.,MORTGAGE
MTG LIEN & COMP AGRE,MORTGAGE
MTG MODIF,MORTGAGE
MTG MODIF AGREE,MORTGAGE
MTG OIL/GAS PROP,MORTGAGE
MTG PLDG ASGN ETC,MORTGAGE
MTG PLED & ASSIGN,MORTGAGE
MTG PLED &ASSIGN,MORTGAGE
MTG PLEDGE,MORTGAGE
MTG PLEDGE & ASSIGN ,MORTGAGE
MTG PLEDGE ASSIGN PR,MORTGAGE
MTG REN EWAL AGR,MORTGAGE
MTG SEC AGR & ASSIGN,MORTGAGE
MTG SEC AGRE ETC,MORTGAGE
MTG SEC AGREE ASSIGN,MORTGAGE
MTG SEC AGREE ETC,MORTGAGE
MTG& REQ,MORTGAGE
MTG&ASGN PROD,MORTGAGE
MTG&ASSIGN LSES & RE,MORTGAGE
MTG&PLE PLEDGE,MORTGAGE
MTG&REQ FOR NTC,MORTGAGE
"MTG, ASSIGNMENT ETC ",MORTGAGE
"MTG, ETC",MORTGAGE
MTG-RE- INS,MORTGAGE
MTG/ ASSIGN,MORTGAGE
MTG/ PLEDGE,MORTGAGE
MTG/REQ,MORTGAGE
MTG/SUBOR,MORTGAGE
MTN & OR DISMISS,ORDER
MTN ORD DISMISS,ORDER
MTRMNL AGREE,AGREEMENT
MTRMNL CONTRACT,CONTRACT
"MTRNML AG,JUDG",AGREEMENT
NAME AFF,AFFIDAVIT
NAME AFFID,AFFIDAVIT
NAME AFFIDAVIT,AFFIDAVIT
NAME CHANGE,NAME CHANGE
NAME CHANGE & MERGER,NAME CHANGE
NAME CHANGE AFF ETC ,NAME CHANGE
NAME CHANGE CERT,NAME CHANGE
NAME CHANGE CERTIF,NAME CHANGE
NAME CHANGE ETC,NAME CHANGE
NAME CHANGE JUDG,NAME CHANGE
NAME CHANGE NOTIF,NAME CHANGE
NAME CHANGE ORDER,NAME CHANGE
NAME CHANGE RESOL,NAME CHANGE
NAME CHANGE/AMEND CH,NAME CHANGE
NAME CHANGE/MERGER,NAME CHANGE
NAME CHG,NAME CHANGE
NAME CHG AFF,NAME CHANGE
NAME CHG CERT,NAME CHANGE
NAME CHG CERTIF,NAME CHANGE
NAME CHG JUDG,NAME CHANGE
NAME CHG RESOLU,NAME CHANGE
NET PRFT INT CNV,AFFIDAVIT
NEW TRL JUDG,JUDGMENT
NFC OF EXECUTIN,NOTICE
NME CHG,NAME CHANGE
NME CHG AFF,NAME CHANGE
NME CHG CERTIF,NAME CHANGE
NME CHG JUDG,NAME CHANGE
NME RESTOR,NAME CHANGE
NNATTCH MNT CERT,AFFIDAVIT
NNDVLP ETC AFF,AFFIDAVIT
NO DRILLING AFF & PL,AFFIDAVIT
NO DRLG AFF,AFFIDAVIT
NO DRLNG AFF,AFFIDAVIT
NO MINERAL AFF,AFFIDAVIT
NO OBJCT LETTER,AFFIDAVIT
NO WORK AFF,AFFIDAVIT
NO WORK AFFID,AFFIDAVIT
NO WORK CERTIF,AFFIDAVIT
NOMINTN ACPT ETC,AFFIDAVIT
NON ALN AGREE,AFFIDAVIT
NON DEV AFF,AFFIDAVIT
NON DIST &SEV AGR,AGREEMENT
NON DIST AGR ETC,AGREEMENT
NON DIST AGR&SUB,AGREEMENT
NON DIST AGREE,AGREEMENT
NON DISTUR & ATTORN ,AGREEMENT
NON DISTURB & ATTORN,AGREEMENT
NON DISTURBANCE AGRE,AGREEMENT
NON DRAINAGE AGREE,AGREEMENT
NON EXCLUSIVE R/W,RIGHTOF WAY
NON PART TERM ROY DE,AFFIDAVIT
NON PRTC ROY INT,AFFIDAVIT
NON WK AFF,AFFIDAVIT
NON WK AFF & WAIVER ,AFFIDAVIT
NON WORK AFF,AFFIDAVIT
NON WORK AFF & PLAT ,AFFIDAVIT
NON WORK AFF&WAIVER ,AFFIDAVIT
NON WORK AFFID,AFFIDAVIT
NON-DIST &SEV AGR,AGREEMENT
NON-DIST AGREE,AGREEMENT
NON-WORK AFF,AFFIDAVIT
NON-WORK AFFID,AFFIDAVIT
NONCONVERSION AGREE ,AGREEMENT
NONENCUMBRANCE AGREE,AGREEMENT
NONEXCLU SEISMIC PER,PERMIT
NONEXCLUSIVE SEISMIC,PERMIT
NOT END & ASSGN,ASSIGNMENT
NOT END & ASSIGN,ASSIGNMENT
NOT END & ASSIGN & C,ASSIGNMENT
NOT END & ASSIGN ETC,ASSIGNMENT
NOT END ASSIGN,ASSIGNMENT
NOT ENDR & ASGN,ASSIGNMENT
NOT ENDR & ASIGN,ASSIGNMENT
NOT ENDR & ASSGN,ASSIGNMENT
NOT ENDR & ASSIGN,ASSIGNMENT
NOT ENDS & ASIGN,ASSIGNMENT
NOT LIS PENDENCY,LIS PENDENS
NOT LIS PENDENS,LIS PENDENS
NOT OF PURCHASE,NOTICE
NOT/EXEC OF LSE,LEASE
NOT/FILE SUIT,NOTICE
NOT/JNT OP AGREE,AGREEMENT
NOTARIAL ADOPTION,ADOPTION
NOTARIAL AFF,AFFIDAVIT
NOTARIAL CORR,CORRECTION
NOTARIAL ENDORSE,ASSIGNMENT
NOTARIAL ENDSMT,ASSIGNMENT
NOTARY,BOND
NOTARY BOND,BOND
NOTE,NOTE
NOTE & RELEASE,NOTE
NOTE & RELEASE ETC,NOTE
NOTE LIEN ASSIGN,NOTE
NOTE LIEN ASSIGN AGR,NOTE
NOTE/CANC,NOTE
NOTE/MTG MOD AGRE,NOTE
NOTE/PAR CANC,NOTE
NOTES,NOTE
NOTI ASSI A/R,NOTICE
NOTI SAL &ASSIGN,NOTICE
NOTICE,NOTICE
NOTICE & ETC,NOTICE
NOTICE & REFUSAL,NOTICE
NOTICE & TRANSFER,NOTICE
NOTICE & WAIVER,NOTICE
NOTICE ABANDON,ABANDONMENT
NOTICE ASSIGN,NOTICE
NOTICE BNKRPCY,NOTICE
NOTICE CONTRACT,NOTICE
NOTICE ETC,NOTICE
NOTICE EXCTN,NOTICE OF SEIZURE
NOTICE EXECTN,NOTICE OF SEIZURE
NOTICE EXECU,NOTICE OF SEIZURE
NOTICE EXECUTN,NOTICE OF SEIZURE
NOTICE INTERDIC,INTERDICTION
NOTICE LIS PEND,LIS PENDENS
NOTICE LIS PNDS,LIS PENDENS
NOTICE LISPNDS,LIS PENDENS
NOTICE LS PNDNS,LIS PENDENS
NOTICE LS PNDS,LIS PENDENS
NOTICE OF,NOTICE
NOTICE OF ACCEPT,ACCEPTANCE
NOTICE OF BANKRUPTCY,NOTICE
NOTICE OF CHG,NOTICE
NOTICE OF COMPANION ,NOTICE
NOTICE OF CONTRACT T,CONTRACT
NOTICE OF CORR,CORRECTION
NOTICE OF DEFAULT,DEFAULT 
NOTICE OF EXCTN,NOTICE OF SEIZURE
NOTICE OF EXCU,NOTICE OF SEIZURE
NOTICE OF EXEC,NOTICE OF SEIZURE
NOTICE OF EXECU,NOTICE OF SEIZURE
NOTICE OF EXT OF OPT,NOTICE
NOTICE OF INTERDCT,INTERDICTION
NOTICE OF JUDG,JUDGMENT
NOTICE OF LEASE,LEASE
NOTICE OF LIEN,LIEN
NOTICE OF MTG,MORTGAGE
NOTICE OF PURCH,NOTICE
NOTICE OF R/W,RIGHT OF WAY
NOTICE OF REINSCRIPT,REINSCRIPTION
NOTICE OF SEIZ,NOTICE OF SEIZURE
NOTICE OF SUIT,NOTICE
NOTICE OF SZUR,NOTICE OF SEIZURE
NOTICE OF TERMINATIO,TERMINATION
NOTICE OF TRANSACTIO,NOTICE
NOTICE PENDENCY,LIS PENDENS
NOTICE PURCHASE,NOTICE
NOTICE REINSCRIP JUD,REINSCRIPTION
NOTICE SEIZURE,NOTICE OF SEIZURE
NOTICE SZRE,NOTICE OF SEIZURE
NOTICE SZURE,NOTICE OF SEIZURE
NOTICE TERM WORK,TERMINATION
NOTICE/ ADD CHG,NOTICE
NOTICE/ ASSIGN,ASSIGNMENT
NOTICE/ CLOSURE,NOTICE
NOTICE/ DISCLAIM,NOTICE
NOTICE/ DISSOL,DISSOLUTION
NOTICE/ EXECTN,NOTICE OF SEIZURE
NOTICE/ EXECUTN,NOTICE OF SEIZURE
NOTICE/ FIL SUIT,NOTICE
NOTICE/ FILE LN,NOTICE
NOTICE/ PENDENCY,LIS PENDENS
NOTICE/ PURCH,NOTICE
NOTICE/ PURCHASE,NOTICE
NOTICE/ SEIZURE,NOTICE OF SEIZURE
NOTICE/ SUB CMPL,NOTICE  
NOTICE/ WITHDRL,NOTICE  
NOTICE/EXECUTN,NOTICE OF SEIZURE
NOTIF,NOTICE
NOTIF & ACKNOW,NOTICE
NOTIF OF SEIS OP,NOTICE
NOTIF SEISMIC OP,NOTICE
NOTIF. SEISMIC,NOTICE
NOTIFI- CATION,NOTICE
NOTIFIC SEISMIC,NOTICE
NOTIFIC- ATION,NOTICE
NOTIFICA,NOTICE
NOTIFICA SEISMIC,NOTICE
NT END & ASSIGN,ASSIGNMENT
NT ENDRS & ASIGN,ASSIGNMENT
NT ENDRS & ASSGN,ASSIGNMENT
NT ENDS & ASSIGN,ASSIGNMENT
NT MEMO AMD OGML,AMENDMENT
NT OF TERM WORK,TERMINATION
NTC,NOTICE
NTC & AFF LIS PEN&RE,LIS PENDENS
NTC & AFF LIS PEND &,LIS PENDENS
NTC & AFF LIS PEND/R,LIS PENDENS
NTC & AFFID ETC,NOTICE
NTC ACC REC,NOTICE
NTC ACCEPT,ACCEPTANCE
NTC ACCEPTANCE,ACCEPTANCE
NTC AMEND OGL,AMENDMENT
NTC ASGN AC RCV,ASSIGNMENT
NTC ASGN ACC RCV,ASSIGNMENT
NTC ASGN ACC REC,ASSIGNMENT
NTC ASGN ACT RCV,ASSIGNMENT
NTC ASGN ACT REC,ASSIGNMENT
NTC ASGN ACTS RC,ASSIGNMENT
NTC ASGN ACTS/RC,ASSIGNMENT
NTC ASSI ACT REC,ASSIGNMENT
NTC ASSIGN,ASSIGNMENT
NTC CHANGE OF DEPOS ,NOTICE
NTC CHANGE REG OFC,NOTICE
NTC CHANGE REG OFC &,NOTICE
NTC DISCHG BNKRPTCY ,DISCHARGE
NTC EX,NOTICE OF SEIZURE
NTC EXC OGL,OGM FILING
NTC EXEC,NOTICE OF SEIZURE
NTC EXEC OGL,OGM FILING
NTC EXEC OGML,OGM FILING
NTC EXECU,NOTICE OF SEIZURE
NTC EXECU OGML,OGM FILING
NTC EXECUT O & G LSE,OGM FILING
NTC EXECUTIN,NOTICE OF SEIZURE
NTC EXECUTIN OGML,OGM FILING
NTC FILE BKRUPTCY,NOTICE
NTC FILE CHP 11,NOTICE
NTC FILING CONVERSIO,NOTICE
NTC FLNG SUIT,NOTICE
NTC FNL CLOSURE,NOTICE
NTC FOR NTC SZUR,NOTICE
NTC FOR REQ SZUR,REQUEST NOTICE SEIZE
NTC FORF LIEN,LIEN
NTC GEO OPT AGREE ET,PERMIT
NTC GEO PERMIT & OPT,PERMIT
NTC GEOPHYSICAL OPT ,PERMIT
NTC GEOPHYSICAL PERM,PERMIT
NTC INTENT CHANGE DO,NOTICE
NTC INTENT REVOC CHA,NOTICE
NTC INTENT SELL PROP,NOTICE
NTC INTERDCT,INTERDICTION
NTC INTERDCT JUDG,INTERDICTION
NTC INTERDIC,INTERDICTION
NTC INTERDICT,INTERDICTION
NTC INTERDICTION,INTERDICTION
NTC JUDG REVERSE,JUDGMENT
NTC LEASE OPT,LEASE
NTC LIEN & PRIV ETC ,LIEN
NTC LIEN & PRIVILEGE,LIEN
NTC LIEN CHILD SUPPO,LIEN
NTC LIEN HOLDER,LIEN
NTC LIEN RIGHTS,LIEN
NTC LIS PEN/AFF RE I,LIS PENDENS
NTC LIS PEND,LIS PENDENS
NTC LIS PEND &RE-INS,LIS PENDENS
NTC LIS PEND ETC,LIS PENDENS
NTC LIS PENDENS,LIS PENDENS
NTC LIS PENDENS & CO,LIS PENDENS
NTC LIS PENDENS & PL,LIS PENDENS
NTC LIS PENDENS & RE,LIS PENDENS
NTC LIS PENDENS &RE-,LIS PENDENS
NTC LIS PENDENS ETC ,LIS PENDENS
NTC LIS PENDNS,LIS PENDENS
NTC LIS PNDS,LIS PENDENS
NTC LS PDS CANC,LIS PENDENS
NTC LS PNDS,LIS PENDENS
NTC MOT TO SELL,ORDER
NTC NAME CHANGE,NAME CHANGE
NTC OF ACCEPT,ACCEPTANCE
NTC OF ACCEPTANCE,ACCEPTANCE
NTC OF ADD CHNG,NOTICE
NTC OF AMEND OGML,AMENDMENT
NTC OF ASSESSMT,NOTICE
NTC OF BNKRPTCY,NOTICE
NTC OF CHANGE,NOTICE
NTC OF CHG AMEND ETC,NOTICE
NTC OF CLAIMS & ETC ,NOTICE
NTC OF CNSGNMNT,NOTICE
NTC OF COMMENCEMENT ,NOTICE
NTC OF COMMNCMNT,NOTICE
NTC OF COMPANION SUI,NOTICE
NTC OF COMPL,NOTICE
NTC OF COMPLETION,NOTICE
NTC OF COMPLETITION ,NOTICE
NTC OF CONTRACT,CONTRACT
NTC OF CONVERSION,NOTICE
NTC OF DEFAULT,NOTICE
NTC OF DEMOLITION,NOTICE
NTC OF EXC OGML,OGM FILING
NTC OF EXCTN,NOTICE OF SEIZURE
NTC OF EXEC,NOTICE OF SEIZURE
NTC OF EXEC OGML,OGM FILING
NTC OF EXECTN,NOTICE OF SEIZURE
NTC OF EXECU,NOTICE OF SEIZURE
NTC OF EXECUT,NOTICE OF SEIZURE
NTC OF EXECUTIN,NOTICE OF SEIZURE
NTC OF EXECUTIN OF O,NOTICE OF SEIZURE
NTC OF EXECUTION,NOTICE OF SEIZURE
NTC OF EXECUTN,NOTICE OF SEIZURE
NTC OF EXECUTON,NOTICE OF SEIZURE
NTC OF EXEUCT,NOTICE OF SEIZURE
NTC OF FARMOUT,NOTICE
NTC OF FILING,NOTICE
NTC OF FIX FILE,UCC-1 FIXTURE FILING
NTC OF INTENT,NOTICE 
NTC OF INTERDCT,INTERDICTION
NTC OF INTERDCTION,INTERDICTION
NTC OF INTERDICTION ,INTERDICTION
NTC OF JOINT OP AGRE,AGREEMENT
NTC OF LEASE,LEASE
NTC OF LEASE AGREE,LEASE
NTC OF LIEN,LIEN
NTC OF LIEN & PRIV,LIEN
NTC OF LIEN CLAIM & ,LIEN
NTC OF LIS PEND,LIS PENDENS
NTC OF LIS PENDENS,LIS PENDENS
NTC OF LOAN AGREE,AGREEMENT
NTC OF LSE AGREE,AGREEMENT
NTC OF MINERAL LEASE,LEASE
NTC OF MOVABLE PROP ,NOTICE
NTC OF NAME CHG,NAME CHANGE
NTC OF OG OWNERS INT,NOTICE
NTC OF OGL,OGM FILING
NTC OF OGML,OGM FILING
NTC OF OGML OPT,OGM FILING
NTC OF OIL PRCH,OGM FILING
NTC OF OP AGREE,AGREEMENT
NTC OF OPERATING AGR,AGREEMENT
NTC OF OPTION AGREE ,AGREEMENT
NTC OF OPTION TO LSE,LEASE
NTC OF P/L RW & PLAT,RIGHT OF WAY
NTC OF PEND ACT,LIS PENDENS
NTC OF PEND/ACT,LIS PENDENS
NTC OF PENDENCY,LIS PENDENS
NTC OF PENDENCY OF A,LIS PENDENS
NTC OF PERMIT,PERMIT
NTC OF PRCH,NOTICE
NTC OF PURCHASE,NOTICE
NTC OF RE INSC,REINSCRIPTION
NTC OF RE-INSC,REINSCRIPTION
NTC OF REINS,REINSCRIPTION
NTC OF REINSC JUDG,REINSCRIPTION
NTC OF REINSCPT,REINSCRIPTION
NTC OF REINSCRIP JUD,REINSCRIPTION
NTC OF REINSCRIPT OF,REINSCRIPTION
NTC OF REINSCRIPTION,REINSCRIPTION
NTC OF REINSCRP,REINSCRIPTION
NTC OF RELEASE,RELEASE
NTC OF REPOSS,NOTICE OF REPOSSESSION
NTC OF REPOSSESSION ,NOTICE OF REPOSSESSION
NTC OF RESGNATN,NOTICE
NTC OF RESIGNATION E,NOTICE
NTC OF REVIVAL,REINSCRIPTION
NTC OF SEC INT,NOTICE
NTC OF SEIZURE,NOTICE OF SEIZURE
NTC OF SEP OWNR,NOTICE
NTC OF SETTLEMENT & ,NOTICE
NTC OF SUB COMPL,NOTICE
NTC OF SUBST COMPLET,NOTICE
NTC OF SZRE,NOTICE OF SEIZURE
NTC OF SZUR,NOTICE OF SEIZURE
NTC OF SZURE,NOTICE OF SEIZURE
NTC OF TECHNICAL COR,NOTICE
NTC OF TERM OF CONTR,TERMINATION
NTC OF TERM OF LEASE,TERMINATION
NTC OF TERM OF WORK ,TERMINATION
NTC OF TERMINATION,TERMINATION
NTC OF TERMN,TERMINATION
NTC OGL,OGM FILING
NTC OGML,OGM FILING
NTC OGML OPT,OGM FILING
NTC OP AGEE ETC,AGREEMENT
NTC OP AGEE&ETC,AGREEMENT
NTC OP AGR ETC & PLA,AGREEMENT
NTC OP AGREE,AGREEMENT
NTC OPER AGREE,AGREEMENT
NTC OPERATING AGREE ,AGREEMENT
NTC OPT GROUND LEASE,OPTION
NTC OPTION TO LEASE ,OPTION
NTC P/L R/W & PLAT,RIGHT OF WAY
NTC PEND ACTION,LIS PENDENS
NTC PEND OF ACT,LIS PENDENS
NTC PERMIT & OGML,PERMIT
NTC PERMIT ETC,PERMIT
NTC PURCHASE,NOTICE
NTC RE INS JUDG,REINSCRIPTION
NTC RE INSC,REINSCRIPTION
NTC RE-INSC JUDG,REINSCRIPTION
NTC RE-INSC JUDICIAL,REINSCRIPTION
NTC REINS JUDG,REINSCRIPTION
NTC REINSC JUDG,REINSCRIPTION
NTC REINSC JUDG ETC ,REINSCRIPTION
NTC REINSC JUDG&ETC ,REINSCRIPTION
NTC REINSCRIPTION JU,REINSCRIPTION
NTC RESIG & APPT TRU,NOTICE
NTC REVIVAL,REINSCRIPTION
NTC REVOC AGENCY AGR,REVOCATION
NTC SALE & ASSIGN ET,CASH SALE
NTC SEIS PERMIT,PERMIT
NTC SEIS PERMIT LSE ,PERMIT
NTC SEISMIC OPERATIO,PERMIT
NTC SEISMIC PERMIT &,PERMIT
NTC SEISMIC PERMIT O,PERMIT
NTC SEIZURE,NOTICE OF SEIZURE
NTC STORAGE INFECT M,NOTICE  
NTC SUB CMPL,NOTICE
NTC SUB COMPL,NOTICE
NTC SUCSR AGENT & RE,NOTICE
NTC SZURE,NOTICE OF SEIZURE
NTC TERM,TERMINATION
NTC TERM OF CONT,TERMINATION
NTC TERM OF LSE,TERMINATION
NTC TERM OF TRUST,TERMINATION
NTC TERM OF WK,TERMINATION
NTC TERM OF WORK,TERMINATION
NTC TERM TRUST & REL,TERMINATION
NTC TERM WK,TERMINATION
NTC TERM WORK,TERMINATION
NTC TERM/CERTIF SUB ,TERMINATION
NTC TO CONDEMN,NOTICE
NTC TO LIEN HLD,NOTICE
NTC TO LIENHLDR,NOTICE
NTC TO LIMIT LOAN IN,NOTICE
NTC TO PROCEED,NOTICE
NTC TO RE-INSC JUDG ,REINSCRIPTION
NTC TO RENEWAL SURFA,NOTICE
NTC TO VACATE,NOTICE
NTC/AFF REVOCA,REVOCATION
NTC/AFFID,AFFIDAVIT
NTC/ORDR ETC,ORDERE
NTCE OF EXECUTN,NOTICE OF SEIZURE
NTR ENDR & ASIGN,ASSIGNMENT
NTRL END & ASIGN,ASSIGNMENT
NTRL END & ASSGN,ASSIGNMENT
NTRL END & ASSIG,ASSIGNMENT
NUPTIAL AGREE,AGREEMENT
O & G LEASE,OGM FILING
O G M L,OGM FILING
O&G CNVY & SALE,OGM FILING
OATH/ACCEPT/INDENT O,OATH OF OFFICE
OCRR OR #2-0.2,ORDER 
OFFER TO SELL,AFFIDAVIT
OFFICERS CERTIF,AFFIDAVIT
OG & ROYALTY LEASE,OGM FILING
OG HYDRO LSE,OGM FILING
OG HYDROCARBON LSE,OGM FILING
OG LSE,OGM FILING
OG LSE EXT,OGM FILING
OG LSE/ ROY DEED,OGM FILING
OG&M LEASE,OGM FILING
OGHL,OGM FILING
OGL,OGM FILING
OGL & LIMITED ROYALT,OGM FILING
OGL & LTD ROY DEED,OGM FILING
OGL & LTD ROYALTY DE,OGM FILING
OGL & PLAT,OGM FILING
OGL & ROY DEED,OGM FILING
OGL DECL,OGM FILING
OGL ETC,OGM FILING
OGL EXTRACT,OGM FILING
OGL ROY DEED,OGM FILING
OGL/LTD ROY DEED,OGM FILING
OGL/RLTY DEED,OGM FILING
OGL/ROY DEED,OGM FILING
OGLIGATION PAY INDEB,OGM FILING
OGLM,OGM FILING
OGM DEED,OGM FILING
OGML,OGM LEASE
OGML & AMEND,OGM LEASE
OGML & CO LESSORS AG,OGM LEASE
OGML & CONSENT,OGM LEASE
OGML & ETC,OGM LEASE
OGML & ORDER,OGM LEASE
OGML & P/ATTY,OGM LEASE
OGML & PLAT,OGM LEASE
OGML & R/W,OGM LEASE
OGML & RDO,OGM LEASE
OGML & ROY DEED,OGM LEASE
OGML & SUB SERV,OGM LEASE
OGML & SUB SRV,OGM LEASE
OGML & SUB SRVC,OGM LEASE
OGML & SUB SRVT,OGM LEASE
OGML & SUB SURF R/W ,OGM LEASE
OGML & SUB SURF SERV,OGM LEASE
OGML & SUB SURF SRVT,OGM LEASE
OGML & SUB SURFACE R,OGM LEASE
OGML & SUB SURFACE S,OGM LEASE
OGML & SUBSURF R/W,OGM LEASE
OGML & SUBSURFACE R/,OGM LEASE
OGML & SUBSURFAE R/W,OGM LEASE
OGML AMEND,OGM LEASE
OGML CORR/RTF,OGM LEASE
OGML ETC,OGM LEASE
OGML EXT,OGM LEASE
OGML EXT & AMEND,OGM LEASE
OGML EXTENSION,OGM LEASE
OGML MEMO,OGM LEASE
OGML OPT AGREE,OGM LEASE
OGML OPT ETC,OGM LEASE
OGML OPTION,OGM LEASE
OGML P/ATTY,OGM LEASE
OGML RAT & AMEND,OGM LEASE
OGML RATIF,OGM LEASE
OGML&RDO,OGM LEASE
"OGML,",OGM LEASE
OGML/ P/ATTY,OGM LEASE
OGML/ ROY DEED,OGM LEASE
OH ELEC LINE AGR,AGREEMENT
OIL & GAS LEASE,OGM LEASE
OIL & GAS LSE,OGM LEASE
OIL AND GAS LSE,OGM LEASE
OIL GAS LEASE,OGM LEASE
OIL/GAS LEASE,OGM LEASE
OIL/GAS LSE,OGM LEASE
OMGL,OGM LEASE
ONEROUS DONA,DONATION
ONEROUS DONA INTER V,DONATION
ONEROUS DONATION,DONATION
ONEROUS DONATION INT,DONATION
OP AGREE,OPTION
OP AGREE R/W & PLAT ,OPTION
OP TO PURCH,OPTION
OPER & PARTICIPATING,AGREEMENT
OPER AGREE,AGREEMENT
OPER CONT,CONTRACT
OPERAT AGREE,AGREEMENT
OPERATING AGREE,AGREEMENT
OPERATING AGREE & PL,AGREEMENT
OPERATING AGREEMENT ,AGREEMENT
OPERATNG AGREE,AGREEMENT
OPINION,ORDER
OPT AGREE,AGREEMENT
OPT AGREE R/W,AGREEMENT
OPT AGREE R/W & PLAT,AGREEMENT
OPT R/W & PLAT,RIGHT OF WAY
OPT TO ACQ LSE,OPTION
OPT TO ACQ OGML,OPTION
OPT TO AQ LEASE,OPTION
OPT TO BUY&SELL,OPTION
OPT TO LEASE,OPTION
OPT TO PURCHASE,OPTION
OPT TO PURCHASE OGL ,OPTION
OPT TO RELEASE,OPTION
OPTION,OPTION
OPTION & LSE AGR,OPTION
OPTION & R/W,OPTION
OPTION AGREE,OPTION
OPTION AGREE & R/W,OPTION
OPTION AGREEMENT,OPTION
OPTION BUY/SELL,OPTION
OPTION EXT,OPTION
OPTION EXTN,OPTION
OPTION PURCH,OPTION
OPTION RELEASE,OPTION
OPTION TO ACQUIRE OG,OPTION
OPTION TO BUY,OPTION
OPTION TO LEASE,OPTION
OPTION TO LSE,OPTION
OPTION TO PURCH,OPTION
OPTION TO PURCHASE,OPTION
OPTION TO PURCHASE &,OPTION
OPTION TO PURCHASE O,OPTION
OPTION WAIVER,OPTION
OPTN TO AQ LEASE,OPTION
OPTN TO LSE,OPTION
OPTN TO PURCH,OPTION
OR,ORDER
OR # 1049-A,ORDER
OR # 1049-B,ORDER
OR # 1049-C,ORDER
OR # 1140,ORDER
OR # 1157-C,ORDER
OR # 1175-A & PLAT,ORDER
OR # 1175-A-1 & PLAT,ORDER
OR # 1193A2,ORDER
OR # 124-W & PLAT,ORDER
OR # 127-D-8,ORDER
OR # 132 A 3,ORDER
OR # 132 E,ORDER
OR # 132 F,ORDER
OR # 132 J 1,ORDER
OR # 132L,ORDER
OR # 142-B-1,ORDER
OR # 142-C-4 & PLAT ,ORDER
OR # 142-D-1,ORDER
OR # 142-E,ORDER
OR # 143-F& PLAT,ORDER
OR # 2-C-7,ORDER
OR # 2-DD-2,ORDER
OR # 2-J-4 & PLAT,ORDER
OR # 2-J-5,ORDER
OR # 2-O-2,ORDER
OR # 2-S-3,ORDER
OR # 2-T-1,ORDER
OR # 209 OF 1984,ORDER
OR # 26-K-2,ORDER
OR # 2HH2,ORDER
OR # 2TT1,ORDER
OR # 342 OF 1984,ORDER
OR # 352 D,ORDER
OR # 38 OF 1981,ORDER
OR # 39-D-3,ORDER
OR # 39B20,ORDER
OR # 4 OF 2011,ORDER
OR # 479-A-5,ORDER
OR # 479-B-15 & PLAT,ORDER
OR # 479-B-8,ORDER
OR # 479-B-9,ORDER
OR # 479-C-29 & PLAT,ORDER
